id,primary_name,prefixes,total.dois,current.dois,backfile.dois,flags.deposits.abstracts.current,coverge.abstracts.current,flags.deposits.abstracts.backfile,coverge.abstracts.backfile
23348,The Challenge - University of Larbi Ben M'hidi Oum El Bouaghi,10.37139,103,28,75,FALSE,0,FALSE,0
21600,Ukrainian Research Institute of Refractories named after A.S. Berezhnoy,10.35857,51,28,23,TRUE,0.928571403026581,TRUE,0.95652174949646
7109,The International Child Neurology Association (ICNA),10.17724,51,28,23,TRUE,0.964285731315613,TRUE,1
23369,Revista Latino-Americana de Educacao em Astronomia - RELEA,10.37156,195,28,167,TRUE,0.5,TRUE,0.622754514217377
23694,Institut Teknologi Medan,10.37369,28,28,0,TRUE,0.892857134342194,FALSE,0
8424,BPPKI Bandung - Kementerian Komunikasi Dan Informatika RI,10.20422,132,28,104,TRUE,0.821428596973419,TRUE,0.807692289352417
17756,Hadmernok,10.32567,28,28,0,FALSE,0,FALSE,0
24993,HK-Publishing,10.37950,33,28,5,TRUE,0.964285731315613,TRUE,1
25056,Sosyal Bilimler Akademi Dergisi,10.38004,28,28,0,FALSE,0,FALSE,0
24779,Constanta Maritime University,10.38130,28,28,0,FALSE,0,FALSE,0
15988,Korean Society of MR Technology,10.31159,42,28,14,FALSE,0,FALSE,0
22931,Universidad Nacional de Jaen,10.37787,84,28,56,TRUE,0.821428596973419,TRUE,0.892857134342194
25453,The Toegye Studies Institute,10.46264,42,28,14,FALSE,0,FALSE,0
1264,Ursus,10.2192,329,27,302,FALSE,0,FALSE,0
11724,The Korean Association of Central Asian Studies,10.29174,153,27,126,FALSE,0,FALSE,0
3929,Japan Agency for Marine-Earth Science and Technology,10.5918,199,27,172,FALSE,0,FALSE,0
6030,Economists for Peace and Security,10.15355,207,27,180,TRUE,1,TRUE,0.161111116409302
6843,Korean Association of Feminist Philosophers,10.17316,157,27,130,FALSE,0,FALSE,0
5042,Geological Association of Canada,10.12789,159,27,132,TRUE,0.629629611968994,TRUE,0.64393937587738
5453,Iktisadi Girisim ve Is Ahlaki Dernegi (IGIAD),10.12711,83,27,56,FALSE,0,FALSE,0
5830,"Applied Systems, srl",10.15190,112,27,85,FALSE,0,FALSE,0
21886,Revista Odontologica do Brasil Central - ROBRAC,10.36065,27,27,0,TRUE,1,FALSE,0
22247,Fundacja Biografie Codziennosci,10.36578,94,27,67,TRUE,0.92592591047287,TRUE,0.805970132350922
24811,Escola Superior de Saude Norte da Cruz Vermelha Portuguesa,10.37914,27,27,0,TRUE,1,FALSE,0
7956,East-West Art and Culture Studies Association,10.18707,115,27,88,FALSE,0,FALSE,0
8068,Korean Society for Lacan and Contemporary Psychoanalysis,10.18873,91,27,64,FALSE,0,FALSE,0
8435,Drustvo psihologov Slovenije/Slovenian Psychologists' Association,10.20419,99,27,72,FALSE,0,FALSE,0
1840,Yamashina Institute for Ornithology,10.3312,1098,27,1071,FALSE,0,FALSE,0
2775,Spontaneous Generations,10.4245,180,27,153,TRUE,0.703703701496124,FALSE,0
3137,The Polarographic Society of Japan,10.5189,829,27,802,FALSE,0,FALSE,0
3406,Indonesian Society for Microbiology,10.5454,311,27,284,FALSE,0,FALSE,0
8604,"The Institute for Culture, Media and Entertainment Laws",10.20995,55,27,28,FALSE,0,FALSE,0
9638,The Korea Society of Energy and Climate Change Education,10.22368,60,27,33,FALSE,0,FALSE,0
4275,Journal of Mobile Technology in Medicine,10.7309,245,27,218,FALSE,0,FALSE,0
6527,Pediatric Neurology Briefs Publishers,10.15844,4129,27,4102,FALSE,0,FALSE,0
6776,International Studies Review,10.16934,151,27,124,FALSE,0,FALSE,0
6840,Dogu Cografya Dergisi,10.17295,127,27,100,FALSE,0,FALSE,0
7081,Lund University Library,10.17505,66,27,39,TRUE,0.148148149251938,FALSE,0
7230,Yerbilimleri,10.17824,64,27,37,FALSE,0,FALSE,0
7757,Journal of Linguistics Research,10.18492,49,27,22,FALSE,0,FALSE,0
7790,"Doctrina, Ltd.",10.18527,64,27,37,FALSE,0,FALSE,0
8001,Universidad Tecnica Estatal de Quevedo,10.18779,253,27,226,TRUE,0.888888895511627,TRUE,0.907079637050629
8099,"Faculty of Computer Science, Sriwijaya University",10.18495,123,27,96,TRUE,1,TRUE,1
8463,"Balai Besar Kulit, Karet dan Plastik (Center for Leather, Rubber and Plastics)",10.20543,436,27,409,FALSE,0,FALSE,0
8592,Osmanli Medeniyeti ve Arastirmalari Dergisi,10.21021,63,27,36,FALSE,0,FALSE,0
8835,The Korean Advertising and PR Practitioners Society,10.21331,170,27,143,FALSE,0,FALSE,0
8846,Revista de Governanca Corporativa,10.21434,55,27,28,FALSE,0,FALSE,0
8983,ACFE Indonesia Chapter,10.21532,60,27,33,TRUE,0.962962985038757,TRUE,1
9363,Instituto Junguiano de Sao Paulo (IJUSP),10.21901,42,27,15,TRUE,1,TRUE,1
